---------------------------------------------------------------------------
Morphalou3.1 : Lexique morphologique ouvert du français – Ce fichier contient uniquement les non catégorisés
356 lemmes et 356 formes fléchies de catégorie non catégorisés (sur un total de 159 271 lemmes et 976 570 formes fléchies, toutes catégories confondues)
Le maintien et la mise à jour du lexique sont assurés par l'ATILF CNRS. (44 avenue de la Libération 54000 Nancy)
Morphalou3 est distribué sous licence LGPL-LR.
Version de 6/2016
Morphalou3 est le résultat de la fusion de 5 lexiques :
	- Morphalou2 (décembre 2013) : http://www.cnrtl.fr/lexiques/morphalou/
	- DELA (décembre 2011) : http://infolingu.univ-mlv.fr/
	- Dicollecte (4.3) : http://dicollecte.org/home.php?prj=fr
	- Lefff (2.1) : http://www.labri.fr/perso/clement/lefff/
	- LGLex et LGLexLefff (3.4) : http://infolingu.univ-mlv.fr/
Ce travail a été réalisé par Marie TONNELIER dans le cadre du projet Ortolang. (ORTOLANG bénéficie d'une aide de l’Etat au titre du programme « Investissements d’avenir » ANR–11–EQPX–0032)
---------------------------------------------------------------------------
LEMME;;;;;;;;;FLEXION;;;;;;;;
GRAPHIE;ID;CATÉGORIE;SOUS CATÉGORIE;LOCUTION;GENRE;AUTRES LEMMES LIÉS;PHONÉTIQUE;ORIGINES;GRAPHIE;ID;NOMBRE;MODE;GENRE;TEMPS;PERSONNE;PHONÉTIQUE;ORIGINES
à bras-le-corps;69532;;;;-;;a b R a l @ k O R;morphalou2; à bras-le-corps;1020603;-;-;-;-;-;a b R a l @ k O R;
brassette;69535;;;;-;;b R a s E t @;morphalou2;brassette;1020606;-;-;-;-;-;b R a s E t @;
à la brassette;69536;;;;-;;a l a b R a s E t @;morphalou2; à la brassette;1020607;-;-;-;-;-;a l a b R a s E t @;
bredi-breda;69540;;;;-;;b R E d i b R E d a;morphalou2;bredi-breda;1020610;-;-;-;-;-;b R E d i b R E d a;
bric et de broc;69546;;;;-;;b R i k e d @ b R o k OU b R i k E/ d @ b R o k ;morphalou2;bric et de broc;1020615;-;-;-;-;-;b R i k e d @ b R o k OU b R i k E/ d @ b R o k ;
de bric et de broc;69547;;;;-;;d @ b R i k e d @ b R o k OU d @ b R i k E/ d @ b R o k ;morphalou2; de bric et de broc;1020616;-;-;-;-;-;d @ b R i k e d @ b R o k OU d @ b R i k E/ d @ b R o k ;
brûle-pourpoint;69575;;;;-;;b R y l @ p u R p w e~;morphalou2;brûle-pourpoint;1020631;-;-;-;-;-;b R y l @ p u R p w e~;
à brûle-pourpoint;69576;;;;-;;a b R y l @ p u R p w e~;morphalou2; à brûle-pourpoint;1020632;-;-;-;-;-;a b R y l @ p u R p w e~;
brunante;69578;;;;-;;b R y n a~ t @;morphalou2;brunante;1020634;-;-;-;-;-;b R y n a~ t @;
à la brunante;69579;;;;-;;a l a b R y n a~ t @;morphalou2; à la brunante;1020635;-;-;-;-;-;a l a b R y n a~ t @;
califourchon;69639;;;;-;;k a l i f u R S o~;morphalou2;califourchon;1020663;-;-;-;-;-;k a l i f u R S o~;
à califourchon;69641;;;;-;;a k a l i f u R S o~;morphalou2; à califourchon;1020664;-;-;-;-;-;a k a l i f u R S o~;
catimini;69837;;;;-;;k a t i m i n i;morphalou2;catimini;1020786;-;-;-;-;-;k a t i m i n i;
en catimini;69838;;;;-;;a~ k a t i m i n i;morphalou2; en catimini;1020787;-;-;-;-;-;a~ k a t i m i n i;
charlemagne;70073;;;;-;;S a R l @ m a J @;morphalou2;charlemagne;1020974;-;-;-;-;-;S a R l @ m a J @;
charlemagne faire;70074;;;;-;;S a R l @ m a J @ f E R @ OU f E R @ S a R l @ m a J @ ;morphalou2;charlemagne faire;1020975;-;-;-;-;-;S a R l @ m a J @ f E R @ OU f E R @ S a R l @ m a J @ ;
