---------------------------------------------------------------------------
Morphalou3.1 : Lexique morphologique ouvert du français – Ce fichier contient uniquement les Mots grammaticaux (nombres, prépositions, pronoms, conjonctions et déterminants)
813 lemmes et 1 326 formes fléchies de catégorie Mots grammaticaux (nombres, prépositions, pronoms, conjonctions et déterminants) (sur un total de 159 271 lemmes et 976 570 formes fléchies, toutes catégories confondues)
Le maintien et la mise à jour du lexique sont assurés par l'ATILF CNRS. (44 avenue de la Libération 54000 Nancy)
Morphalou3 est distribué sous licence LGPL-LR.
Version de 6/2016
Morphalou3 est le résultat de la fusion de 5 lexiques :
	- Morphalou2 (décembre 2013) : http://www.cnrtl.fr/lexiques/morphalou/
	- DELA (décembre 2011) : http://infolingu.univ-mlv.fr/
	- Dicollecte (4.3) : http://dicollecte.org/home.php?prj=fr
	- Lefff (2.1) : http://www.labri.fr/perso/clement/lefff/
	- LGLex et LGLexLefff (3.4) : http://infolingu.univ-mlv.fr/
Ce travail a été réalisé par Marie TONNELIER dans le cadre du projet Ortolang. (ORTOLANG bénéficie d'une aide de l’Etat au titre du programme « Investissements d’avenir » ANR–11–EQPX–0032)
---------------------------------------------------------------------------
LEMME;;;;;;;;;FLEXION;;;;;;;;
GRAPHIE;ID;CATÉGORIE;SOUS CATÉGORIE;LOCUTION;GENRE;AUTRES LEMMES LIÉS;PHONÉTIQUE;ORIGINES;GRAPHIE;ID;NOMBRE;MODE;GENRE;TEMPS;PERSONNE;PHONÉTIQUE;ORIGINES
considéré;129070;Préposition;;;-;;;dela;considéré;907534;-;-;-;-;-;;dela
contre;17802;Préposition;;;-;;k o~ t R @;morphalou2 dela dicollecte lglex lefff;contr';127400;-;-;-;-;-;k o~ t R;morphalou2
;;;;;;;;;contre;127401;-;-;-;-;-;k o~ t R @;morphalou2 dela dicollecte lglex lefff
d'après;171028;Préposition;;;-;;;lefff;d'après;1040300;-;-;-;-;-;;lefff
d'avis de;171037;Préposition;;;-;;;lefff;d'avis de;1040311;-;-;-;-;-;;lefff
;;;;;;;;;d'avis d';1040312;-;-;-;-;-;;lefff
d'entre;171039;Préposition;;;-;;;lefff;d'entre;1040314;-;-;-;-;-;;lefff
d'ici;171040;Préposition;;;-;;;lefff;d'ici;1040315;-;-;-;-;-;;lefff
d'ici à;171042;Préposition;;;-;;;lefff;d'ici à;1040317;-;-;-;-;-;;lefff
dans;20085;Préposition;;;-;;d a~;morphalou2 dela dicollecte lglex lefff;dans;144443;-;-;-;-;-;d a~;morphalou2 dela dicollecte lglex lefff
de;131068;Préposition;;;-;;;dela lglex lefff;de;912437;-;-;-;-;-;;dela lglex lefff
;;;;;;;;;d';1040297;-;-;-;-;-;;lefff
de chez;171063;Préposition;;;-;;;lefff;de chez;1040347;-;-;-;-;-;;lefff
de derrière;171067;Préposition;;;-;;;lefff;de derrière;1040351;-;-;-;-;-;;lefff
de l'ordre de;171076;Préposition;;;-;;;lefff;de l'ordre de;1040360;-;-;-;-;-;;lefff
;;;;;;;;;de l'ordre d';1040361;-;-;-;-;-;;lefff
de manière à;171081;Préposition;;;-;;;lefff;de manière à;1040367;-;-;-;-;-;;lefff
de par;171089;Préposition;;;-;;;lefff;de par;1040377;-;-;-;-;-;;lefff
de part et d'autre de;171092;Préposition;;;-;;;lefff;de part et d'autre de;1040381;-;-;-;-;-;;lefff
;;;;;;;;;de part et d'autre d';1040382;-;-;-;-;-;;lefff
de près;171100;Préposition;;;-;;;lefff;de près;1040390;-;-;-;-;-;;lefff
dedans;131076;Préposition;;;-;;;dela;dedans;912453;-;-;-;-;-;;dela
dehors;131079;Préposition;;;-;;;dela;dehors;912460;-;-;-;-;-;;dela
depuis;20241;Préposition;;;-;;d @ p H i;morphalou2 dela dicollecte lefff;depuis;145308;-;-;-;-;-;d @ p H i;morphalou2 dela dicollecte lefff
derrière;20265;Préposition;;;-;;d E R j E R @ OU d E/ R j E R @ ;morphalou2 dela dicollecte lefff;derrière;145361;-;-;-;-;-;d E R j E R @ OU d E/ R j E R @ ;morphalou2 dela dicollecte lefff
dessous;20321;Préposition;;;-;;d @ s u OU d E/ s u ;morphalou2 dicollecte lefff;dessous;146126;-;-;-;-;-;d @ s u OU d E/ s u ;morphalou2 dicollecte lefff
dessus;20324;Préposition;;;-;;d @ s y;morphalou2 dicollecte lefff;dessus;146180;-;-;-;-;-;d @ s y;morphalou2 dicollecte lefff
devant;20369;Préposition;;;-;;d @ v a~;morphalou2 dela dicollecte lefff;devant;146481;-;-;-;-;-;d @ v a~;morphalou2 dela dicollecte lefff
devers;20376;Préposition;;;-;;d @ v E R;morphalou2 dela dicollecte lefff;devers;146542;-;-;-;-;-;d @ v E R;morphalou2 dela dicollecte lefff
dixit;96601;Préposition;;;-;;;dela lefff;dixit;565457;-;-;-;-;-;;dela lefff
dont;132453;Préposition;;;-;;d o~;dela;dont;915981;-;-;-;-;-;;dela
du côté de;171172;Préposition;;;-;;;lefff;du côté de;1040804;-;-;-;-;-;;lefff
;;;;;;;;;du côté d';1040805;-;-;-;-;-;;lefff
durant;21808;Préposition;;;-;;d y R a~;morphalou2 dela dicollecte lefff;durant;156861;-;-;-;-;-;d y R a~;morphalou2 dela dicollecte lefff
dès;21887;Préposition;;;-;;d E OU d E/ ;morphalou2 dela dicollecte lefff;dès;157321;-;-;-;-;-;d E OU d E/ ;morphalou2 dela dicollecte lefff
dès avant;171181;Préposition;;;-;;;lefff;dès avant;1040820;-;-;-;-;-;;lefff
en;24765;Préposition;;;-;;a~;morphalou2 dela dicollecte lglex lefff;en;205125;-;-;-;-;-;a~;morphalou2 dela dicollecte lglex lefff
en absence de;171264;Préposition;;;-;;;lefff;en absence de;1042618;-;-;-;-;-;;lefff
;;;;;;;;;en absence d';1042619;-;-;-;-;-;;lefff
en accord avec;171265;Préposition;;;-;;;lefff;en accord avec;1042620;-;-;-;-;-;;lefff
en amont de;171266;Préposition;;;-;;;lefff;en amont de;1042621;-;-;-;-;-;;lefff
;;;;;;;;;en amont d';1042622;-;-;-;-;-;;lefff
en arrière de;171268;Préposition;;;-;;;lefff;en arrière de;1042624;-;-;-;-;-;;lefff
;;;;;;;;;en arrière d';1042625;-;-;-;-;-;;lefff
en aval de;171269;Préposition;;;-;;;lefff;en aval de;1042626;-;-;-;-;-;;lefff
;;;;;;;;;en aval d';1042627;-;-;-;-;-;;lefff
en avant de;171271;Préposition;;;-;;;lefff;en avant de;1042629;-;-;-;-;-;;lefff
;;;;;;;;;en avant d';1042630;-;-;-;-;-;;lefff
en cas de;171273;Préposition;;;-;;;lefff;en cas de;1042632;-;-;-;-;-;;lefff
;;;;;;;;;en cas d';1042633;-;-;-;-;-;;lefff
en contrebas de;171279;Préposition;;;-;;;lefff;en contrebas de;1042641;-;-;-;-;-;;lefff
;;;;;;;;;en contrebas d';1042642;-;-;-;-;-;;lefff
en dedans de;171282;Préposition;;;-;;;lefff;en dedans de;1042645;-;-;-;-;-;;lefff
;;;;;;;;;en dedans d';1042646;-;-;-;-;-;;lefff
en dehors de;171283;Préposition;;;-;;;lefff;en dehors de;1042647;-;-;-;-;-;;lefff
;;;;;;;;;en dehors d';1042648;-;-;-;-;-;;lefff
en delà de;171284;Préposition;;;-;;;lefff;en delà de;1042649;-;-;-;-;-;;lefff
;;;;;;;;;en delà d';1042650;-;-;-;-;-;;lefff
en dessous de;171286;Préposition;;;-;;;lefff;en dessous de;1042652;-;-;-;-;-;;lefff
;;;;;;;;;en dessous d';1042653;-;-;-;-;-;;lefff
en début de;171291;Préposition;;;-;;;lefff;en début de;1042661;-;-;-;-;-;;lefff
;;;;;;;;;en début d';1042662;-;-;-;-;-;;lefff
en dépit de;171293;Préposition;;;-;;;lefff;en dépit de;1042664;-;-;-;-;-;;lefff
;;;;;;;;;en dépit d';1042665;-;-;-;-;-;;lefff
en face de;171296;Préposition;;;-;;;lefff;en face de;1042668;-;-;-;-;-;;lefff
;;;;;;;;;en face d';1042669;-;-;-;-;-;;lefff
en fait de;171297;Préposition;;;-;;;lefff;en fait de;1042670;-;-;-;-;-;;lefff
;;;;;;;;;en fait d';1042671;-;-;-;-;-;;lefff
en faveur de;171298;Préposition;;;-;;;lefff;en faveur de;1042672;-;-;-;-;-;;lefff
;;;;;;;;;en faveur d';1042673;-;-;-;-;-;;lefff
