---------------------------------------------------------------------------
Morphalou3.1 : Lexique morphologique ouvert du français – Ce fichier contient uniquement les Interjection
422 lemmes et 422 formes fléchies de catégorie Interjection (sur un total de 159 271 lemmes et 976 570 formes fléchies, toutes catégories confondues)
Le maintien et la mise à jour du lexique sont assurés par l'ATILF CNRS. (44 avenue de la Libération 54000 Nancy)
Morphalou3 est distribué sous licence LGPL-LR.
Version de 6/2016
Morphalou3 est le résultat de la fusion de 5 lexiques :
	- Morphalou2 (décembre 2013) : http://www.cnrtl.fr/lexiques/morphalou/
	- DELA (décembre 2011) : http://infolingu.univ-mlv.fr/
	- Dicollecte (4.3) : http://dicollecte.org/home.php?prj=fr
	- Lefff (2.1) : http://www.labri.fr/perso/clement/lefff/
	- LGLex et LGLexLefff (3.4) : http://infolingu.univ-mlv.fr/
Ce travail a été réalisé par Marie TONNELIER dans le cadre du projet Ortolang. (ORTOLANG bénéficie d'une aide de l’Etat au titre du programme « Investissements d’avenir » ANR–11–EQPX–0032)
---------------------------------------------------------------------------
LEMME;;;;;;;;;FLEXION;;;;;;;;
GRAPHIE;ID;CATÉGORIE;SOUS CATÉGORIE;LOCUTION;GENRE;AUTRES LEMMES LIÉS;PHONÉTIQUE;ORIGINES;GRAPHIE;ID;NOMBRE;MODE;GENRE;TEMPS;PERSONNE;PHONÉTIQUE;ORIGINES
gy;30721;Interjection;;;-;;Z i;morphalou2;gy;260150;-;-;-;-;-;Z i;morphalou2
ha;30954;Interjection;;;-;;a;morphalou2 dela;ha;261417;-;-;-;-;-;a;morphalou2 dela
hahé;31013;Interjection;;;-;;a e;morphalou2;hahé;261846;-;-;-;-;-;a e;morphalou2
han;31087;Interjection;;;-;;a~;morphalou2 dela dicollecte;han;262331;-;-;-;-;-;a~;morphalou2 dela dicollecte
harlou;31151;Interjection;;;-;;a R l u;morphalou2;harlou;262964;-;-;-;-;-;a R l u;morphalou2
haro;31173;Interjection;;;-;;a R o;morphalou2 dela;haro;263160;-;-;-;-;-;a R o;morphalou2 dela
haïe;31239;Interjection;;;-;;a i;morphalou2 dicollecte;haïe;263750;-;-;-;-;-;a i;morphalou2 dicollecte
hein;31263;Interjection;;;-;;e~;morphalou2 dela dicollecte lefff;hein;263856;-;-;-;-;-;e~;morphalou2 dela dicollecte lefff
hello;31264;Interjection;;;-;;E l o OU E/ l o ;morphalou2 dela dicollecte;hello;263857;-;-;-;-;-;E l o OU E/ l o ;morphalou2 dela dicollecte
hem;31286;Interjection;;;-;;E m;morphalou2 dela dicollecte;hem;263961;-;-;-;-;-;E m;morphalou2 dela dicollecte
hep;31300;Interjection;;;-;;E p;morphalou2 dela dicollecte;hep;264042;-;-;-;-;-;E p;morphalou2 dela dicollecte
hi;31398;Interjection;;;-;;i;morphalou2 dela dicollecte;hi;264636;-;-;-;-;-;i;morphalou2 dela dicollecte
hip;31435;Interjection;;;-;;i p;morphalou2 dela;hip;264774;-;-;-;-;-;i p;morphalou2 dela
ho;31546;Interjection;;;-;;o;morphalou2 dela dicollecte;ho;265289;-;-;-;-;-;o;morphalou2 dela dicollecte
holà;31578;Interjection;;;-;;O l a OU O/ l a ;morphalou2 dela dicollecte;holà;265461;-;-;-;-;-;O l a OU O/ l a ;morphalou2 dela dicollecte
hon;31642;Interjection;;;-;;o~;morphalou2;hon;265720;-;-;-;-;-;o~;morphalou2
hop;31669;Interjection;;;-;;O p;morphalou2 dela dicollecte lefff;hop;265977;-;-;-;-;-;O p;morphalou2 dela dicollecte lefff
hou;31740;Interjection;;;-;;u;morphalou2 dela dicollecte;hou;266361;-;-;-;-;-;u;morphalou2 dela dicollecte
houp;31761;Interjection;;;-;"variante du lemme #31669 ""hop""";u p;morphalou2 dela dicollecte;houp;266556;-;-;-;-;-;u p;morphalou2 dela dicollecte
hourra;31776;Interjection;;;-;;u R a;morphalou2 dela dicollecte;hourra;266682;-;-;-;-;-;u R a;morphalou2 dela dicollecte
hue;31796;Interjection;;;-;;y;morphalou2 dela;hue;266918;-;-;-;-;-;y;morphalou2 dela
hum;31824;Interjection;;;-;;9 m;morphalou2 dela dicollecte;hum;267080;-;-;-;-;-;9 m;morphalou2 dela dicollecte
hurrah;31892;Interjection;;;-;"variante du lemme #31776 ""hourra""";u R a;morphalou2 dela dicollecte;hurrah;267546;-;-;-;-;-;u R a;morphalou2 dela dicollecte
hélas;32264;Interjection;;;-;;e l a s OU E/ l a s ;morphalou2 dela dicollecte;hélas;269369;-;-;-;-;-;e l a s OU E/ l a s ;morphalou2 dela dicollecte
jarnidieu;35393;Interjection;;;-;;Z a R n i d j 2;morphalou2 dicollecte;jarnidieu;289477;-;-;-;-;-;Z a R n i d j 2;morphalou2 dicollecte
kss;36063;Interjection;;;-;;k s;morphalou2 dicollecte;kss;293219;-;-;-;-;-;k s;morphalou2 dicollecte
lanlaire;36384;Interjection;onomatopée;;-;;l a~ l E R @;morphalou2 dela;lanlaire;294861;-;-;-;-;-;l a~ l E R @;morphalou2 dela
lanturelu;36399;Interjection;;;-;;l a~ t y R @ l y;morphalou2;lanturelu;295037;-;-;-;-;-;l a~ t y R @ l y;morphalou2
lanturlu;36400;Interjection;;;-;"variante du lemme #36399 ""lanturelu""";l a~ t y R l y;morphalou2;lanturlu;295040;-;-;-;-;-;l a~ t y R l y;morphalou2
macarelle;37978;Interjection;;;-;;m a k a R E l @;morphalou2;macarelle;304096;-;-;-;-;-;m a k a R E l @;morphalou2
malepeste;38362;Interjection;;;-;;m a l @ p E s t @;morphalou2;malepeste;306147;-;-;-;-;-;m a l @ p E s t @;morphalou2
maugrebleu;39310;Interjection;;;-;;m o g R @ b l 2 OU m O/ g R @ b l 2 ;morphalou2;maugrebleu;312590;-;-;-;-;-;m o g R @ b l 2 OU m O/ g R @ b l 2 ;morphalou2
mektoub;39426;Interjection;;;-;;m E k t u b;morphalou2;mektoub;313257;-;-;-;-;-;m E k t u b;morphalou2
merci;39564;Interjection;;;-;;m E R s i;morphalou2 dela;merci;314218;-;-;-;-;-;m E R s i;morphalou2 dela
morbleu;40748;Interjection;;;-;;m O R b l 2;morphalou2 dela dicollecte;morbleu;321291;-;-;-;-;-;m O R b l 2;morphalou2 dela dicollecte
mordieu;40767;Interjection;;;-;;m O R d j 2;morphalou2 dela;mordieu;321433;-;-;-;-;-;m O R d j 2;morphalou2 dela
morguenne;40796;Interjection;;;-;;m O R g E n @;morphalou2 dela dicollecte;morguenne;321892;-;-;-;-;-;m O R g E n @;morphalou2 dela dicollecte
morgué;40798;Interjection;;;-;"variante du lemme #40796 ""morguenne""";m O R g e;morphalou2 dela;morgué;321946;-;-;-;-;-;m O R g e;morphalou2 dela
motus;40944;Interjection;;;-;;m O t y s OU m O/ t y s ;morphalou2 dela dicollecte;motus;322792;-;-;-;-;-;m O t y s OU m O/ t y s ;morphalou2 dela dicollecte
na;42107;Interjection;;;-;;n a;morphalou2 dela dicollecte;na;330593;-;-;-;-;-;n a;morphalou2 dela dicollecte
nibé;42542;Interjection;;;-;;n i b e;morphalou2;nibé;333107;-;-;-;-;-;n i b e;morphalou2
oh;43770;Interjection;;;-;;o;morphalou2 dela dicollecte;oh;340548;-;-;-;-;-;o;morphalou2 dela dicollecte
ohé;43773;Interjection;;;-;;O e OU O/ e ;morphalou2 dela dicollecte;ohé;340555;-;-;-;-;-;O e OU O/ e ;morphalou2 dela dicollecte
olé;43842;Interjection;;;-;;O l e OU O/ l e ;morphalou2 dela dicollecte;olé;340840;-;-;-;-;-;O l e OU O/ l e ;morphalou2 dela dicollecte
ouah;44545;Interjection;;;-;;w a;morphalou2 lefff;ouah;344382;-;-;-;-;-;w a;morphalou2 lefff
ouat;44550;Interjection;;;-;;w a;morphalou2;ouat;344390;-;-;-;-;-;w a;morphalou2
ouatte;44556;Interjection;;;-;"variante du lemme #44550 ""ouat""";w a t @;morphalou2;ouatte;344503;-;-;-;-;-;w a t @;morphalou2
ouf;44572;Interjection;;;-;;u f;morphalou2 dela dicollecte;ouf;344591;-;-;-;-;-;u f;morphalou2 dela dicollecte
ouiche;44579;Interjection;;;-;;w i S @;morphalou2;ouiche;344607;-;-;-;-;-;w i S @;morphalou2
