---------------------------------------------------------------------------
Morphalou3.1 : Lexique morphologique ouvert du français – Ce fichier contient uniquement les Adverbes
4 157 lemmes et 4 167 formes fléchies de catégorie Adverbes (sur un total de 159 271 lemmes et 976 570 formes fléchies, toutes catégories confondues)
Le maintien et la mise à jour du lexique sont assurés par l'ATILF CNRS. (44 avenue de la Libération 54000 Nancy)
Morphalou3 est distribué sous licence LGPL-LR.
Version de 6/2016
Morphalou3 est le résultat de la fusion de 5 lexiques :
	- Morphalou2 (décembre 2013) : http://www.cnrtl.fr/lexiques/morphalou/
	- DELA (décembre 2011) : http://infolingu.univ-mlv.fr/
	- Dicollecte (4.3) : http://dicollecte.org/home.php?prj=fr
	- Lefff (2.1) : http://www.labri.fr/perso/clement/lefff/
	- LGLex et LGLexLefff (3.4) : http://infolingu.univ-mlv.fr/
Ce travail a été réalisé par Marie TONNELIER dans le cadre du projet Ortolang. (ORTOLANG bénéficie d'une aide de l’Etat au titre du programme « Investissements d’avenir » ANR–11–EQPX–0032)
---------------------------------------------------------------------------
LEMME;;;;;;;;;FLEXION;;;;;;;;
GRAPHIE;ID;CATÉGORIE;SOUS CATÉGORIE;LOCUTION;GENRE;AUTRES LEMMES LIÉS;PHONÉTIQUE;ORIGINES;GRAPHIE;ID;NOMBRE;MODE;GENRE;TEMPS;PERSONNE;PHONÉTIQUE;ORIGINES
alertement;2925;Adverbe;;;-;;a l E R t @ m a~;morphalou2 dela dicollecte lglex lefff;alertement;23326;-;-;-;-;-;a l E R t @ m a~;morphalou2 dela dicollecte lglex lefff
algébriquement;2989;Adverbe;;;-;;a l Z e b R i k @ m a~ OU a l Z E/ b R i k @ m a~ ;morphalou2 dela dicollecte lglex lefff;algébriquement;23583;-;-;-;-;-;a l Z e b R i k @ m a~ OU a l Z E/ b R i k @ m a~ ;morphalou2 dela dicollecte lglex lefff
allegretto;3105;Adverbe;;;-;;a l @ g R E t o OU a l E/ g R E/ t o ;morphalou2 dela dicollecte lefff;allegretto;24169;-;-;-;-;-;a l @ g R E t o OU a l E/ g R E/ t o ;morphalou2 dela dicollecte lefff
allegro;3107;Adverbe;;;-;;a l e g R o OU a l E/ g R o ;morphalou2 dela dicollecte lefff;allegro;24173;-;-;-;-;-;a l e g R o OU a l E/ g R o ;morphalou2 dela dicollecte lefff
allégoriquement;3237;Adverbe;;;-;;a l e g O R i k @ m a~ OU a l E/ g O/ R i k @ m a~ ;morphalou2 dela dicollecte lglex lefff;allégoriquement;25191;-;-;-;-;-;a l e g O R i k @ m a~ OU a l E/ g O/ R i k @ m a~ ;morphalou2 dela dicollecte lglex lefff
allégrement;3244;Adverbe;;;-;;a l E g R @ m a~ OU a l E/ g R @ m a~ ;morphalou2 dela dicollecte lefff;allégrement;25253;-;-;-;-;-;a l E g R @ m a~ OU a l E/ g R @ m a~ ;morphalou2 dela dicollecte lefff
alors;3268;Adverbe;;;-;;a l O R;morphalou2 dela dicollecte lglex lefff;alors;25451;-;-;-;-;-;a l O R;morphalou2 dela dicollecte lglex lefff
alphabétiquement;3303;Adverbe;;;-;;a l f a b e t i k @ m a~ OU a l f a b E/ t i k @ m a~ ;morphalou2 dela dicollecte lglex lefff;alphabétiquement;25631;-;-;-;-;-;a l f a b e t i k @ m a~ OU a l f a b E/ t i k @ m a~ ;morphalou2 dela dicollecte lglex lefff
alternativement;3342;Adverbe;;;-;;a l t E R n a t i v @ m a~;morphalou2 dela dicollecte lglex lefff;alternativement;25777;-;-;-;-;-;a l t E R n a t i v @ m a~;morphalou2 dela dicollecte lglex lefff
altièrement;3356;Adverbe;;;-;;a l t j E R @ m a~ OU a l t j E/ R @ m a~ ;morphalou2 dela dicollecte lglex lefff;altièrement;25861;-;-;-;-;-;a l t j E R @ m a~ OU a l t j E/ R @ m a~ ;morphalou2 dela dicollecte lglex lefff
